dist	m1	ra	m2	iota	dec
6.073199540000000241e+01	4.787963643124918178e+00	2.331896799999999992e+00	4.102900368677511622e+00	4.069731999999999794e-01	-2.285440000000000041e-02
6.296299069999999887e+01	4.897197528973458169e+00	2.306539100000000175e+00	4.021143739652431215e+00	2.489108999999999905e-01	-2.599330000000000043e-02
4.537985869999999977e+01	4.837899483629267472e+00	2.339331300000000002e+00	4.067778454327742210e+00	7.709013999999999589e-01	4.058239999999999764e-02
3.172523350000000164e+01	4.848199468781252186e+00	2.342963300000000082e+00	4.042552830976208433e+00	1.043097099999999999e+00	1.156560000000000053e-02
2.320720370000000088e+01	4.581396442061539176e+00	2.331301600000000196e+00	4.288152251156640560e+00	1.310438800000000015e+00	-4.234349999999999919e-02
6.353655439999999999e+01	5.413042848376146132e+00	5.294431000000000331e+00	3.632813766400749600e+00	2.638182599999999933e+00	-7.749030000000000085e-01
2.620588229999999896e+01	5.037332149142400795e+00	2.328138899999999900e+00	3.899886934136384209e+00	1.132581899999999919e+00	-2.097150000000000056e-02
3.637270269999999783e+01	4.600290730131549211e+00	2.375887500000000152e+00	4.273433173319607370e+00	9.611418000000000461e-01	-3.916259999999999880e-02
3.428678910000000002e+01	4.510312823401213755e+00	2.335113799999999795e+00	4.348663211810514184e+00	1.150134900000000071e+00	-1.637600000000000167e-02
3.683951119999999690e+01	5.013398843605965993e+00	2.334483200000000203e+00	3.919966529017817614e+00	1.096209699999999954e+00	7.529700000000000282e-03
2.227621290000000087e+01	4.692379248547822179e+00	2.355516999999999861e+00	4.174181977089541640e+00	1.221620900000000010e+00	1.742780000000000024e-02
4.870909149999999954e+01	5.031832489461962155e+00	2.309643200000000007e+00	3.918065049364746422e+00	7.563235999999999848e-01	-1.083482000000000056e-01
3.969225850000000122e+01	4.817764309072649631e+00	2.307090899999999944e+00	4.072026425882741663e+00	8.603543000000000163e-01	-1.511062999999999990e-01
5.695365360000000265e+01	4.743077665896549888e+00	2.311053600000000152e+00	4.144404505676021699e+00	1.870268999999999959e-01	-8.882370000000000543e-02
5.227703600000000250e+01	5.235972508556298699e+00	2.310429899999999925e+00	3.751476913291929005e+00	3.905702999999999814e-01	-9.647650000000000670e-02
2.203552290000000013e+01	5.750725635442048400e+00	2.163660699999999881e+00	3.430295189944784440e+00	1.141517799999999916e+00	-3.730365999999999960e-01
2.623684499999999886e+01	5.202362123182043163e+00	2.186326400000000003e+00	3.781247948842561435e+00	7.812308000000000030e-01	-3.872554999999999747e-01
3.264763039999999705e+01	4.946850447254126593e+00	2.170169299999999968e+00	3.978770118073148954e+00	4.900838000000000139e-01	-4.011728999999999989e-01
3.518220079999999683e+01	4.937027139812618870e+00	2.335362400000000171e+00	3.989415631705126586e+00	9.795776999999999957e-01	-4.220360000000000084e-02
2.811349500000000035e+01	5.486981331504066972e+00	2.161020999999999859e+00	3.577425133835614446e+00	5.961767000000000039e-01	-3.955831000000000208e-01
2.761800039999999967e+01	5.601892417748742581e+00	2.197771200000000036e+00	3.520716559953653846e+00	7.170606000000000479e-01	-3.809145999999999921e-01
3.391903109999999799e+01	5.368166710235525940e+00	2.176589100000000165e+00	3.667599672150131163e+00	6.157742999999999967e-01	-3.986206999999999945e-01
3.449287160000000085e+01	5.312241493036450102e+00	2.183452200000000065e+00	3.705012736059435596e+00	6.390862999999999960e-01	-3.891510000000000247e-01
2.478599069999999926e+01	5.510505098741562691e+00	2.172093799999999852e+00	3.569113374717178822e+00	9.281118999999999897e-01	-3.690506000000000064e-01
4.109278019999999998e+01	5.362232582735395603e+00	2.164618100000000211e+00	3.686054980814430504e+00	1.178895999999999972e-01	-3.746052999999999744e-01
2.920233610000000013e+01	5.578542730324131504e+00	2.151934900000000095e+00	3.528569414061089926e+00	7.320041999999999938e-01	-4.033296000000000103e-01
3.379704050000000137e+01	5.691013438128055490e+00	2.164029600000000109e+00	3.463195659206195653e+00	1.387419000000000013e-01	-3.879368000000000261e-01
5.157011990000000168e+01	5.497364522355831618e+00	2.323284600000000033e+00	3.594401766925206410e+00	5.551677000000000417e-01	-6.263470000000000149e-02
6.507681060000000173e+01	5.388782675844975500e+00	2.331763200000000147e+00	3.642153190845539790e+00	2.754133999999999749e-01	3.642770000000000036e-02
4.954724749999999744e+01	5.371503766774956112e+00	2.316993800000000103e+00	3.675274729941836682e+00	3.537301999999999946e-01	-8.897720000000000629e-02
3.328742189999999823e+01	5.322146017497926707e+00	2.304098000000000201e+00	3.705525004957268997e+00	8.137613000000000207e-01	-1.007596000000000047e-01
2.662587860000000006e+01	5.403961769420119410e+00	2.201267200000000201e+00	3.644674995576552501e+00	8.610919999999999686e-01	-3.886230999999999991e-01
3.178702050000000057e+01	5.505904121873878232e+00	2.208187199999999795e+00	3.585988196901098934e+00	6.191586000000000034e-01	-3.563522000000000078e-01
3.270266649999999942e+01	5.388778234280439783e+00	2.201566699999999877e+00	3.660654175595985826e+00	5.626510000000000122e-01	-3.646344000000000252e-01
3.289697730000000320e+01	5.510939392132021553e+00	2.187636799999999937e+00	3.584462122724436650e+00	3.981869000000000103e-01	-3.533398999999999845e-01
3.709969929999999749e+01	5.140159119807164778e+00	2.202286200000000083e+00	3.823076101918407854e+00	3.474070000000000213e-01	-3.576416000000000039e-01
4.078678089999999656e+01	5.001122107776828862e+00	2.192100599999999844e+00	3.932951941152996511e+00	3.022295999999999871e-01	-3.492602000000000206e-01
3.966919959999999890e+01	5.338384953512423259e+00	2.219512200000000046e+00	3.691189441249985936e+00	2.884704000000000157e-01	-3.105745999999999785e-01
2.598534349999999904e+01	5.188682625690239192e+00	2.193838899999999814e+00	3.793701150827317736e+00	8.823176000000000352e-01	-3.525287999999999755e-01
6.036445979999999878e+01	4.862780509025776965e+00	2.319169699999999779e+00	4.049252890763392898e+00	2.987180999999999864e-01	-3.541500000000000203e-02
5.990835959999999716e+01	4.484326263682315350e+00	2.367875999999999870e+00	4.368895669761496237e+00	3.371096000000000092e-01	5.504479999999999790e-02
3.764852960000000337e+01	6.064107263067696429e+00	2.280746499999999788e+00	3.263361119744123684e+00	6.140453000000000161e-01	-1.569138999999999950e-01
3.974713479999999777e+01	4.684430024595450881e+00	2.348302799999999912e+00	4.192862801762492708e+00	9.298471999999999849e-01	5.066799999999999776e-03
8.574443979999999499e+01	5.560148282889608495e+00	5.380035699999999643e+00	3.535006054628282435e+00	3.762097999999999831e-01	-8.572195999999999705e-01
4.817904380000000231e+01	4.792485582697573854e+00	2.335066600000000214e+00	4.087742909784964240e+00	8.787732999999999794e-01	-1.314109999999999931e-02
4.749067240000000112e+01	4.570889081086714434e+00	2.287933100000000053e+00	4.298552767102119532e+00	6.328787999999999636e-01	-1.128871999999999931e-01
